index,ProductSymbol,DateGen,ExpDate,Strike,Call,Put
0,SPY   ,2023-01-30,2023-01-27,275.0,0,1282
1,SPY   ,2023-01-30,2023-01-27,280.0,0,974
2,SPY   ,2023-01-30,2023-01-27,285.0,0,462
3,SPY   ,2023-01-30,2023-01-27,290.0,0,589
4,SPY   ,2023-01-30,2023-01-27,295.0,0,1214
5,SPY   ,2023-01-30,2023-01-27,300.0,0,12869
6,SPY   ,2023-01-30,2023-01-27,305.0,0,23492
7,SPY   ,2023-01-30,2023-01-27,310.0,0,25507
8,SPY   ,2023-01-30,2023-01-27,315.0,0,875
9,SPY   ,2023-01-30,2023-01-27,320.0,0,36341
10,SPY   ,2023-01-30,2023-01-27,325.0,0,50927
11,SPY   ,2023-01-30,2023-01-27,330.0,0,16412
12,SPY   ,2023-01-30,2023-01-27,331.0,0,15
13,SPY   ,2023-01-30,2023-01-27,332.0,0,2348
14,SPY   ,2023-01-30,2023-01-27,333.0,0,110
15,SPY   ,2023-01-30,2023-01-27,334.0,0,10
16,SPY   ,2023-01-30,2023-01-27,335.0,0,23651
17,SPY   ,2023-01-30,2023-01-27,336.0,0,11
18,SPY   ,2023-01-30,2023-01-27,337.0,0,1
19,SPY   ,2023-01-30,2023-01-27,338.0,0,0
20,SPY   ,2023-01-30,2023-01-27,339.0,0,0
21,SPY   ,2023-01-30,2023-01-27,340.0,0,33168
22,SPY   ,2023-01-30,2023-01-27,341.0,0,19
23,SPY   ,2023-01-30,2023-01-27,342.0,0,3851
24,SPY   ,2023-01-30,2023-01-27,343.0,0,216
25,SPY   ,2023-01-30,2023-01-27,344.0,0,1171
26,SPY   ,2023-01-30,2023-01-27,345.0,0,3862
27,SPY   ,2023-01-30,2023-01-27,346.0,0,1157
28,SPY   ,2023-01-30,2023-01-27,347.0,0,87
29,SPY   ,2023-01-30,2023-01-27,348.0,0,1930
30,SPY   ,2023-01-30,2023-01-27,349.0,0,5
31,SPY   ,2023-01-30,2023-01-27,350.0,0,22216
32,SPY   ,2023-01-30,2023-01-27,351.0,0,22
33,SPY   ,2023-01-30,2023-01-27,352.0,0,2606
34,SPY   ,2023-01-30,2023-01-27,353.0,0,87
35,SPY   ,2023-01-30,2023-01-27,354.0,0,3207
36,SPY   ,2023-01-30,2023-01-27,355.0,0,4209
37,SPY   ,2023-01-30,2023-01-27,356.0,0,3329
38,SPY   ,2023-01-30,2023-01-27,357.0,0,375
39,SPY   ,2023-01-30,2023-01-27,358.0,0,2545
40,SPY   ,2023-01-30,2023-01-27,359.0,0,242
41,SPY   ,2023-01-30,2023-01-27,360.0,0,9509
42,SPY   ,2023-01-30,2023-01-27,361.0,0,1488
43,SPY   ,2023-01-30,2023-01-27,362.0,0,3717
44,SPY   ,2023-01-30,2023-01-27,363.0,0,1454
