,DateGen,ExpDate,ITM Maximum Pain,All Maxpain,Top 5 Calls,Top 5 Puts,highestOIstrike,ITM P/C Ratio
0,2023-02-08,2023-02-10,155.0,285.0,"{200.0: 38830, 230.0: 23539, 210.0: 22429, 220.0: 20119, 195.0: 17713}","{180.0: 18013, 170.0: 15891, 185.0: 15836, 190.0: 15009, 165.0: 14195}","{200.0: 51470, 190.0: 29891, 195.0: 29427, 180.0: 28495, 185.0: 27087}",0.823645606139038
1,2023-02-08,2023-02-17,120.0,70.0,"{200.0: 42519, 220.0: 32446, 160.0: 29383, 120.0: 26426, 250.0: 23829}","{70.0: 53619, 120.0: 48768, 100.0: 36297, 105.0: 29303, 110.0: 25534}","{120.0: 75194, 70.0: 53693, 105.0: 50048, 200.0: 48075, 160.0: 48016}",1.0305371712439673
2,2023-02-08,2023-02-24,130.0,150.0,"{200.0: 6508, 210.0: 3773, 240.0: 3639, 220.0: 2989, 225.0: 2957}","{155.0: 5610, 150.0: 5098, 145.0: 4784, 100.0: 2559, 122.0: 2537}","{200.0: 7686, 150.0: 7642, 155.0: 7242, 145.0: 6384, 160.0: 5408}",0.9992887404521137
3,2023-02-08,2023-03-03,170.0,300.0,"{200.0: 5779, 300.0: 4582, 205.0: 3327, 215.0: 3182, 240.0: 2832}","{150.0: 5237, 162.5: 4177, 170.0: 3863, 160.0: 3810, 145.0: 3435}","{200.0: 6992, 170.0: 6318, 150.0: 6256, 160.0: 4877, 300.0: 4586}",0.9603129100893119
4,2023-02-08,2023-03-10,177.5,55.0,"{177.5: 1791, 200.0: 1779, 190.0: 1088, 250.0: 1048, 187.5: 1019}","{55.0: 1200, 170.0: 1135, 180.0: 1031, 148.0: 755, 165.0: 703}","{200.0: 2068, 177.5: 2011, 190.0: 1694, 180.0: 1622, 170.0: 1513}",0.7988933236574746
5,2023-02-08,2023-03-17,135.0,825.0,"{300.0: 70679, 666.67: 70151, 825.0: 58972, 200.0: 44384, 316.67: 29725}","{135.0: 34075, 33.33: 33486, 200.0: 33111, 100.0: 29873, 140.0: 29089}","{200.0: 77495, 300.0: 71129, 666.67: 70151, 135.0: 61889, 825.0: 58972}",0.6630354384393602
6,2023-02-08,2023-03-24,130.0,50.0,"{200.0: 1109, 205.0: 879, 250.0: 472, 245.0: 454, 195.0: 326}","{50.0: 1543, 180.0: 468, 150.0: 457, 177.5: 442, 167.5: 429}","{50.0: 1543, 200.0: 1242, 205.0: 899, 220.0: 605, 180.0: 568}",1.0506653019447287
7,2023-02-08,2023-04-21,80.0,600.0,"{80.0: 25226, 316.67: 21937, 600.0: 18001, 240.0: 13121, 550.0: 11884}","{100.0: 24149, 150.0: 13521, 75.0: 13174, 125.0: 12634, 116.67: 9685}","{80.0: 29744, 100.0: 25781, 125.0: 23749, 316.67: 21938, 150.0: 20517}",0.7356968324921277
8,2023-02-08,2023-05-19,110.0,100.0,"{110.0: 15994, 210.0: 9356, 180.0: 8171, 200.0: 6321, 150.0: 4104}","{100.0: 24405, 140.0: 11214, 120.0: 7806, 110.0: 7283, 105.0: 6119}","{100.0: 25473, 110.0: 23277, 180.0: 13942, 140.0: 13152, 120.0: 9939}",1.2382632425320403
9,2023-02-08,2023-06-16,150.0,825.0,"{825.0: 38906, 333.33: 33586, 200.0: 25307, 500.0: 23866, 466.67: 20796}","{1.67: 41907, 100.0: 27138, 200.0: 23717, 50.0: 17351, 33.33: 16381}","{200.0: 49024, 1.67: 42015, 825.0: 38906, 333.33: 33817, 100.0: 30615}",0.7376526043435532
10,2023-02-08,2023-07-21,150.0,250.0,"{250.0: 24352, 200.0: 5247, 210.0: 5134, 185.0: 3919, 150.0: 3229}","{185.0: 12868, 100.0: 5494, 50.0: 5088, 120.0: 4455, 75.0: 4165}","{250.0: 25927, 185.0: 16787, 200.0: 7346, 150.0: 6627, 210.0: 5898}",1.0853274686251564
11,2023-02-08,2023-09-15,150.0,758.33,"{758.33: 71282, 150.0: 33842, 180.0: 33735, 183.33: 32295, 153.33: 30482}","{1.67: 20021, 200.0: 17091, 116.67: 12245, 100.0: 11983, 33.33: 11373}","{758.33: 71282, 150.0: 43060, 180.0: 40083, 183.33: 37564, 153.33: 32313}",0.4691261057703724
12,2023-02-08,2023-12-15,85.0,250.0,"{250.0: 15701, 260.0: 10049, 200.0: 8753, 205.0: 6706, 240.0: 5744}","{150.0: 11890, 160.0: 10770, 130.0: 10694, 135.0: 5867, 100.0: 5726}","{250.0: 18824, 160.0: 13597, 150.0: 13427, 130.0: 11485, 260.0: 10499}",1.0248551770290901
13,2023-02-08,2024-01-19,100.0,825.0,"{825.0: 75673, 666.67: 41092, 180.0: 39199, 366.67: 38773, 400.0: 38140}","{100.0: 38583, 33.33: 32843, 50.0: 30015, 1.67: 29233, 200.0: 23995}","{825.0: 75673, 200.0: 57312, 100.0: 52471, 233.33: 51079, 180.0: 48855}",0.51659982085855
14,2023-02-08,2024-03-15,100.0,600.0,"{275.0: 8959, 200.0: 5032, 300.0: 4707, 266.67: 4453, 258.33: 4134}","{170.0: 8784, 133.33: 5692, 50.0: 5527, 200.0: 4663, 83.33: 4513}","{275.0: 9965, 200.0: 9695, 170.0: 9061, 100.0: 6392, 133.33: 6280}",0.9532123448283526
15,2023-02-08,2024-06-21,83.33,400.0,"{400.0: 38919, 83.33: 30599, 600.0: 17155, 616.67: 14011, 758.33: 13939}","{1.67: 16474, 150.0: 9883, 100.0: 9771, 200.0: 9766, 233.33: 7139}","{400.0: 38953, 83.33: 34810, 600.0: 17155, 1.67: 17104, 100.0: 15127}",0.5785423882834029
16,2023-02-08,2024-09-20,290.0,290.0,"{200.0: 1742, 220.0: 1485, 190.0: 1485, 150.0: 1429, 350.0: 1410}","{290.0: 2774, 150.0: 2725, 75.0: 2322, 100.0: 2209, 200.0: 1408}","{150.0: 4154, 290.0: 3226, 200.0: 3150, 100.0: 2586, 75.0: 2332}",1.0761226936912545
