expirationDate,Strike,CallsOI,CallsVolume,CallLastPrice,CallIV,CallInMoney,Calls_dollarsFromStrike,Calls_dollarsFromStrikeXoi,CallLastPrice,Calls_lastPriceXoi,PutsOI,PutsVolume,PutLastPrice,Puts_lastPriceXoi,PutIV,PutInMoney,Puts_dollarsFromStrike,Puts_dollarsFromStrikeXoi,PutLastPrice,TotalOI
2023-03-31,57.0,8.0,1.0,10.08,1.0000000000000003e-05,True,5.650001525878906,45.20001220703125,10.08,80.64,85.0,17.0,2.74,232.9,0.062509375,False,5.650001525878906,480.25012969970703,2.74,93.0
2023-03-31,58.0,8.0,7.0,7.8,1.0000000000000003e-05,True,4.650001525878906,37.20001220703125,7.8,62.4,11.0,11.0,3.0,33.0,0.062509375,False,4.650001525878906,51.15001678466797,3.0,19.0
2023-03-31,59.0,18.0,3.0,11.75,1.0000000000000003e-05,True,3.6500015258789062,65.70002746582031,11.75,211.5,47.0,10.0,3.56,167.32,0.062509375,False,3.6500015258789062,171.5500717163086,3.56,65.0
2023-03-31,60.0,26.0,1.0,9.35,1.0000000000000003e-05,True,2.6500015258789062,68.90003967285156,9.35,243.1,103.0,18.0,3.85,396.55,0.0312596875,False,2.6500015258789062,272.95015716552734,3.85,129.0
2023-03-31,61.0,3.0,1.0,6.2,1.0000000000000003e-05,True,1.6500015258789062,4.950004577636719,6.2,18.6,44.0,3.0,4.28,188.32000000000002,0.0312596875,False,1.6500015258789062,72.60006713867188,4.28,47.0
2023-03-31,62.0,25.0,1.0,8.24,1.0000000000000003e-05,True,0.6500015258789062,16.250038146972656,8.24,206.0,12.0,2.0,4.77,57.239999999999995,0.007822421875,False,0.6500015258789062,7.800018310546875,4.77,37.0
2023-03-31,63.0,21.0,21.0,5.35,0.007822421875,False,0.34999847412109375,7.349967956542969,5.35,112.35,59.0,8.0,5.3,312.7,1.0000000000000003e-05,True,0.34999847412109375,20.64990997314453,5.3,80.0
2023-03-31,64.0,10.0,7.0,7.4,0.015634843750000002,False,1.3499984741210938,13.499984741210938,7.4,74.0,65.0,4.0,5.6,364.0,1.0000000000000003e-05,True,1.3499984741210938,87.7499008178711,5.6,75.0
2023-03-31,65.0,44.0,8.0,4.4,0.0312596875,False,2.3499984741210938,103.39993286132812,4.4,193.60000000000002,93.0,13.0,6.21,577.53,1.0000000000000003e-05,True,2.3499984741210938,218.54985809326172,6.21,137.0
2023-03-31,66.0,25.0,1.0,6.5,0.0312596875,False,3.3499984741210938,83.74996185302734,6.5,162.5,30.0,3.0,6.91,207.3,1.0000000000000003e-05,True,3.3499984741210938,100.49995422363281,6.91,55.0
2023-03-31,67.0,382.0,2.0,4.35,0.062509375,False,4.349998474121094,1661.6994171142578,4.35,1661.6999999999998,29.0,2.0,7.66,222.14000000000001,1.0000000000000003e-05,True,4.349998474121094,126.14995574951172,7.66,411.0
2023-03-31,68.0,207.0,25.0,3.21,0.062509375,False,5.349998474121094,1107.4496841430664,3.21,664.47,30.0,1.0,8.11,243.29999999999998,1.0000000000000003e-05,True,5.349998474121094,160.4999542236328,8.11,237.0
2023-03-31,69.0,44.0,3.0,2.77,0.062509375,False,6.349998474121094,279.3999328613281,2.77,121.88,140.0,16.0,7.27,1017.8,1.0000000000000003e-05,True,6.349998474121094,888.9997863769531,7.27,184.0
2023-03-31,70.0,158.0,74.0,2.59,0.062509375,False,7.349998474121094,1161.2997589111328,2.59,409.21999999999997,106.0,21.0,9.4,996.4000000000001,1.0000000000000003e-05,True,7.349998474121094,779.0998382568359,9.4,264.0
2023-03-31,71.0,158.0,14.0,2.18,0.12500875,False,8.349998474121094,1319.2997589111328,2.18,344.44,40.0,1.0,10.55,422.0,1.0000000000000003e-05,True,8.349998474121094,333.99993896484375,10.55,198.0
2023-03-31,75.0,224.0,32.0,1.45,0.12500875,False,12.349998474121094,2766.399658203125,1.45,324.8,67.0,15.0,13.7,917.9,1.0000000000000003e-05,True,12.349998474121094,827.4498977661133,13.7,291.0
2023-03-31,80.0,654.0,48.0,0.84,0.2500075,False,17.349998474121094,11346.899002075195,0.84,549.36,11.0,1.0,15.53,170.82999999999998,1.0000000000000003e-05,True,17.349998474121094,190.84998321533203,15.53,665.0
2023-03-31,85.0,179.0,10.0,0.49,0.2500075,False,22.349998474121094,4000.649726867676,0.49,87.71,1.0,1.0,15.24,15.24,1.0000000000000003e-05,True,22.349998474121094,22.349998474121094,15.24,180.0
2023-03-31,90.0,372.0,77.0,0.26,0.2500075,False,27.349998474121094,10174.199432373047,0.26,96.72,6.0,1.0,21.05,126.30000000000001,1.0000000000000003e-05,True,27.349998474121094,164.09999084472656,21.05,378.0
2023-04-06,50.0,,2.0,14.05,1.0000000000000003e-05,True,12.650001525878906,,14.05,,46.0,47.0,1.23,56.58,0.12500875,False,12.650001525878906,581.9000701904297,1.23,
