,ExpDate,DateGen,Maximum Pain,Top 5 Calls,Top 5 Puts,highestOIstrike
0,2023-02-03,2023-02-02,38.0,"{60.0: 9577, 57.0: 5489, 51.0: 5349, 49.0: 3862, 59.0: 3827}","{50.0: 2118, 53.0: 1478, 45.0: 1456, 56.0: 1312, 38.0: 1236}",20.0
1,2023-02-10,2023-02-02,40.0,"{65.0: 2716, 40.0: 2005, 60.0: 1239, 57.0: 952, 58.0: 747}","{40.0: 2229, 47.0: 1291, 32.0: 1219, 44.0: 986, 33.0: 762}",25.0
2,2023-02-17,2023-02-02,30.0,"{65.0: 5793, 85.0: 3716, 60.0: 3624, 90.0: 3399, 55.0: 2558}","{45.0: 5560, 30.0: 4718, 40.0: 3242, 35.0: 2935, 50.0: 2840}",20.0
3,2023-02-24,2023-02-02,25.0,"{60.0: 771, 70.0: 585, 48.0: 450, 52.0: 421, 65.0: 383}","{25.0: 2503, 35.0: 484, 40.0: 356, 34.0: 266, 45.0: 199}",25.0
4,2023-03-03,2023-02-02,25.0,"{65.0: 194, 55.0: 85, 70.0: 73, 56.0: 66, 58.0: 64}","{25.0: 743, 38.0: 233, 45.0: 170, 30.0: 113, 47.0: 90}",25.0
5,2023-03-10,2023-02-02,70.0,"{70.0: 115, 54.0: 73, 65.0: 61, 58.0: 51, 55.0: 45}","{52.0: 80, 46.0: 39, 56.0: 36, 44.0: 36, 50.0: 31}",30.0
6,2023-03-17,2023-02-02,30.0,"{100.0: 2802, 110.0: 2376, 65.0: 2311, 85.0: 2296, 55.0: 1870}","{35.0: 7998, 30.0: 7664, 45.0: 3410, 40.0: 3295, 50.0: 3185}",20.0
7,2023-04-21,2023-02-02,30.0,"{100.0: 1364, 60.0: 1343, 75.0: 912, 70.0: 807, 65.0: 737}","{30.0: 2426, 50.0: 2052, 40.0: 1435, 45.0: 1432, 25.0: 1148}",20.0
8,2023-06-16,2023-02-02,140.0,"{140.0: 2597, 60.0: 2284, 55.0: 1705, 70.0: 1679, 100.0: 1597}","{50.0: 9281, 45.0: 8820, 40.0: 3760, 30.0: 3250, 22.5: 2159}",20.0
9,2023-07-21,2023-02-02,30.0,"{80.0: 686, 65.0: 457, 75.0: 378, 70.0: 375, 50.0: 341}","{40.0: 1666, 35.0: 1562, 30.0: 1492, 55.0: 1295, 80.0: 799}",20.0
10,2023-09-15,2023-02-02,40.0,"{60.0: 3894, 40.0: 1809, 65.0: 870, 90.0: 447, 80.0: 374}","{40.0: 1267, 35.0: 533, 50.0: 496, 45.0: 492, 25.0: 300}",20.0
11,2024-01-19,2023-02-02,520.0,"{520.0: 2795, 300.0: 2545, 120.0: 2303, 90.0: 2027, 150.0: 1633}","{60.0: 2235, 45.0: 2232, 30.0: 2056, 40.0: 1687, 80.0: 1017}",20.0
12,2024-06-21,2023-02-02,35.0,"{90.0: 40, 70.0: 32, 80.0: 30, 50.0: 26, 55.0: 21}","{45.0: 417, 35.0: 412, 80.0: 70, 50.0: 65, 40.0: 40}",20.0
13,2025-01-17,2023-02-02,110.0,"{60.0: 1877, 110.0: 868, 65.0: 861, 105.0: 467, 55.0: 216}","{75.0: 1039, 50.0: 520, 55.0: 279, 45.0: 254, 35.0: 249}",20.0
