,DateGen,ExpDate,ITM Maximum Pain,All Maxpain,Top 5 Calls,Top 5 Puts,highestOIstrike,ITM P/C Ratio,All P/C Ratio
0,2023-02-10,2023-02-09,411.0,415.0,"{415.0: 49363, 413.0: 30910, 412.0: 30091, 414.0: 29616, 420.0: 26275}","{402.0: 11287, 400.0: 10936, 386.0: 10767, 405.0: 10659, 392.0: 10148}","{415.0: 49363, 413.0: 30910, 412.0: 30091, 414.0: 29616, 420.0: 26275}",0.42678436866972097,0.42678436866972097
1,2023-02-10,2023-02-10,415.0,315.0,"{415.0: 77848, 410.0: 44377, 420.0: 36420, 414.0: 28777, 416.0: 25050}","{400.0: 58807, 315.0: 46415, 405.0: 37940, 325.0: 37265, 330.0: 32818}","{415.0: 96216, 410.0: 72986, 400.0: 66558, 405.0: 53211, 315.0: 46415}",1.6118198267409303,1.6118198267409303
2,2023-02-10,2023-02-13,415.0,415.0,"{415.0: 14256, 417.0: 10534, 416.0: 9370, 420.0: 8822, 414.0: 8532}","{405.0: 16195, 410.0: 13569, 400.0: 8788, 402.0: 7982, 415.0: 7826}","{415.0: 22082, 410.0: 20924, 405.0: 17375, 416.0: 14790, 417.0: 13763}",1.0216401130052082,1.0216401130052082
3,2023-02-10,2023-02-14,418.0,419.0,"{419.0: 5042, 417.0: 4223, 416.0: 4015, 420.0: 3983, 409.0: 3869}","{400.0: 8041, 408.0: 7150, 416.0: 4831, 418.0: 4124, 398.0: 4070}","{408.0: 10259, 416.0: 8846, 400.0: 8284, 417.0: 8276, 418.0: 7717}",1.1490381851421738,1.1490381851421738
4,2023-02-10,2023-02-15,416.0,422.0,"{420.0: 5635, 422.0: 5177, 413.0: 4428, 418.0: 3858, 421.0: 3683}","{416.0: 5967, 400.0: 5949, 413.0: 5613, 410.0: 4444, 417.0: 4386}","{413.0: 10041, 416.0: 8379, 415.0: 7190, 410.0: 6857, 418.0: 6686}",1.2887114180876322,1.2887114180876322
5,2023-02-10,2023-02-16,417.0,416.0,"{413.0: 4921, 415.0: 4818, 412.0: 4766, 414.0: 3809, 411.0: 3513}","{413.0: 8281, 416.0: 7484, 417.0: 6745, 414.0: 5859, 415.0: 5441}","{413.0: 13202, 416.0: 10462, 415.0: 10259, 414.0: 9668, 412.0: 9588}",1.561755653686605,1.561755653686605
6,2023-02-10,2023-02-17,400.0,310.0,"{418.0: 76767, 410.0: 70123, 400.0: 61358, 440.0: 40223, 405.0: 40163}","{375.0: 259339, 350.0: 169424, 380.0: 167855, 310.0: 128017, 400.0: 114352}","{375.0: 263286, 380.0: 181682, 400.0: 175710, 350.0: 169922, 395.0: 134469}",2.8659632358965292,2.8659632358965292
7,2023-02-10,2023-02-21,413.0,435.0,"{425.0: 2680, 435.0: 2226, 411.0: 797, 420.0: 757, 410.0: 700}","{405.0: 3475, 390.0: 1936, 395.0: 962, 370.0: 744, 345.0: 680}","{405.0: 3955, 425.0: 2701, 435.0: 2226, 390.0: 1937, 411.0: 1443}",1.1034171035979028,1.1034171035979028
8,2023-02-10,2023-02-22,415.0,425.0,"{410.0: 1853, 425.0: 1247, 415.0: 1208, 418.0: 894, 420.0: 445}","{410.0: 2246, 412.0: 2024, 415.0: 1362, 414.0: 738, 390.0: 575}","{410.0: 4099, 415.0: 2570, 412.0: 2344, 425.0: 1303, 414.0: 982}",1.279994800467958,1.279994800467958
9,2023-02-10,2023-02-24,428.0,330.0,"{415.0: 9528, 410.0: 8151, 414.0: 7848, 430.0: 7485, 420.0: 7034}","{360.0: 44826, 330.0: 43844, 345.0: 40573, 395.0: 38519, 390.0: 31123}","{360.0: 44851, 330.0: 43851, 345.0: 40585, 395.0: 39942, 390.0: 31825}",3.257116097990965,3.257116097990965
