,DateGen,ExpDate,ITM Maximum Pain,All Maxpain,Top 5 Calls,Top 5 Puts,highestOIstrike,ITM P/C Ratio,All P/C Ratio
0,2023-02-23,2023-02-22,399.0,415.0,"{403.0: 28675, 405.0: 27616, 404.0: 22080, 402.0: 21875, 401.0: 20945}","{394.0: 30051, 395.0: 23930, 398.0: 17440, 396.0: 16365, 397.0: 13678}","{394.0: 30051, 403.0: 28675, 405.0: 27616, 395.0: 23930, 404.0: 22080}",0.7137346741975479,0.7137346741975479
1,2023-02-23,2023-02-23,404.0,423.0,"{410.0: 22588, 423.0: 14097, 405.0: 13490, 398.0: 12652, 400.0: 12367}","{395.0: 15922, 390.0: 13199, 398.0: 12104, 397.0: 10946, 380.0: 10370}","{398.0: 24756, 410.0: 22747, 400.0: 21708, 397.0: 19598, 401.0: 18915}",0.7390090209302007,0.7390090209302007
2,2023-02-23,2023-02-24,405.0,330.0,"{418.0: 29872, 405.0: 28500, 410.0: 25421, 403.0: 21830, 400.0: 18971}","{395.0: 48333, 360.0: 47833, 330.0: 43963, 345.0: 43614, 400.0: 42741}","{400.0: 61712, 395.0: 55588, 405.0: 55389, 403.0: 51579, 360.0: 47899}",1.737170883560461,1.737170883560461
3,2023-02-23,2023-02-27,405.0,390.0,"{396.0: 6254, 410.0: 6004, 409.0: 5141, 405.0: 4461, 402.0: 3985}","{390.0: 13612, 405.0: 11884, 395.0: 7751, 400.0: 6066, 399.0: 5798}","{405.0: 16345, 390.0: 13686, 395.0: 10963, 396.0: 9949, 400.0: 9315}",1.1554952979864996,1.1554952979864996
4,2023-02-23,2023-02-28,410.0,410.0,"{403.0: 8120, 410.0: 8031, 401.0: 6809, 404.0: 6591, 396.0: 6458}","{410.0: 10867, 403.0: 9844, 400.0: 9387, 404.0: 8845, 402.0: 8611}","{410.0: 18898, 403.0: 17964, 404.0: 15436, 402.0: 13906, 400.0: 12930}",1.2190052880307796,1.2190052880307796
5,2023-02-23,2023-03-01,404.0,360.0,"{395.0: 4011, 397.0: 3769, 412.0: 3731, 410.0: 3588, 401.0: 3330}","{404.0: 5111, 401.0: 4994, 403.0: 4417, 395.0: 3858, 360.0: 3690}","{401.0: 8324, 395.0: 7869, 403.0: 7479, 404.0: 7137, 410.0: 5890}",1.1885980638221585,1.1885980638221585
6,2023-02-23,2023-03-02,410.0,450.0,"{450.0: 1400, 406.0: 1371, 405.0: 1340, 416.0: 1232, 410.0: 922}","{370.0: 1936, 410.0: 1556, 395.0: 1063, 400.0: 1034, 394.0: 867}","{410.0: 2478, 370.0: 1937, 405.0: 1820, 395.0: 1801, 400.0: 1694}",0.8832569285267764,0.8832569285267764
7,2023-02-23,2023-03-03,405.0,315.0,"{420.0: 21947, 410.0: 15873, 415.0: 15820, 405.0: 12941, 425.0: 12674}","{390.0: 58509, 370.0: 46760, 355.0: 41714, 392.0: 38325, 385.0: 38307}","{390.0: 59227, 405.0: 49015, 370.0: 46861, 355.0: 41722, 392.0: 39148}",2.868850925984806,2.868850925984806
8,2023-02-23,2023-03-06,411.0,360.0,"{410.0: 1139, 412.0: 1003, 409.0: 918, 408.0: 915, 404.0: 797}","{360.0: 752, 401.0: 615, 398.0: 595, 400.0: 474, 395.0: 462}","{410.0: 1152, 400.0: 1069, 412.0: 1010, 408.0: 985, 402.0: 984}",0.6278019541834305,0.6278019541834305
9,2023-02-23,2023-03-07,396.0,450.0,"{405.0: 928, 396.0: 785, 410.0: 748, 408.0: 740, 397.0: 695}","{390.0: 909, 397.0: 738, 385.0: 712, 400.0: 644, 398.0: 588}","{397.0: 1433, 396.0: 1288, 400.0: 1140, 405.0: 1124, 403.0: 1101}",0.8284305243121647,0.8284305243121647
