,DateGen,ExpDate,ITM Maximum Pain,All Maxpain,Top 5 Calls,Top 5 Puts,highestOIstrike,ITM P/C Ratio
0,2023-02-07,2023-02-06,410.0,381.0,"{420.0: 27156, 411.0: 24922, 415.0: 22383, 412.0: 20626, 413.0: 19615}","{408.0: 45229, 407.0: 37141, 405.0: 28057, 409.0: 19170, 406.0: 15153}","{408.0: 45229, 407.0: 37141, 405.0: 28057, 420.0: 27156, 411.0: 24923}",0.9886821121749542
1,2023-02-07,2023-02-07,400.0,400.0,"{410.0: 11329, 414.0: 9894, 411.0: 9325, 420.0: 9246, 416.0: 9121}","{400.0: 26340, 405.0: 16285, 407.0: 10781, 402.0: 10510, 384.0: 10507}","{400.0: 30125, 405.0: 20774, 410.0: 18148, 411.0: 14315, 414.0: 13369}",1.116838868729398
2,2023-02-07,2023-02-08,420.0,344.0,"{420.0: 7269, 415.0: 6654, 412.0: 6368, 419.0: 6061, 426.0: 5731}","{404.0: 10384, 400.0: 10195, 405.0: 9986, 399.0: 8007, 406.0: 7699}","{405.0: 14257, 412.0: 13926, 404.0: 13609, 406.0: 11770, 410.0: 11730}",1.1654714034096574
3,2023-02-07,2023-02-09,420.0,386.0,"{420.0: 8699, 417.0: 6610, 416.0: 6519, 407.0: 5519, 414.0: 5352}","{386.0: 10817, 400.0: 8607, 420.0: 6978, 410.0: 6951, 417.0: 6669}","{420.0: 15677, 417.0: 13279, 410.0: 12023, 400.0: 11795, 416.0: 11049}",1.2825335082520664
4,2023-02-07,2023-02-10,390.0,315.0,"{410.0: 50997, 415.0: 42407, 420.0: 25518, 405.0: 15118, 429.0: 12443}","{400.0: 47831, 315.0: 46420, 325.0: 37265, 390.0: 35340, 330.0: 32819}","{410.0: 66789, 400.0: 55462, 415.0: 47802, 315.0: 46420, 405.0: 39713}",2.074452484002357
5,2023-02-07,2023-02-13,420.0,402.0,"{420.0: 3155, 410.0: 2562, 415.0: 2372, 409.0: 2228, 411.0: 2143}","{402.0: 10515, 400.0: 3155, 420.0: 2187, 410.0: 2183, 395.0: 2049}","{402.0: 10684, 420.0: 5342, 410.0: 4745, 409.0: 3804, 415.0: 3495}",1.3252554880461858
6,2023-02-07,2023-02-14,417.0,400.0,"{420.0: 2635, 419.0: 2376, 422.0: 1898, 417.0: 1759, 414.0: 1599}","{400.0: 13186, 405.0: 2739, 411.0: 2574, 413.0: 2465, 415.0: 2282}","{400.0: 13354, 411.0: 3968, 417.0: 3895, 419.0: 3802, 413.0: 3722}",1.4976350937385123
7,2023-02-07,2023-02-15,418.0,422.0,"{422.0: 3349, 420.0: 2052, 416.0: 1686, 418.0: 1616, 414.0: 1256}","{416.0: 2763, 418.0: 2147, 410.0: 2043, 400.0: 1614, 413.0: 1535}","{416.0: 4449, 418.0: 3763, 422.0: 3589, 410.0: 2718, 414.0: 2579}",1.2645047260431876
8,2023-02-07,2023-02-16,420.0,440.0,"{413.0: 2275, 412.0: 1707, 415.0: 1680, 411.0: 1610, 414.0: 1445}","{413.0: 4135, 415.0: 3203, 416.0: 2683, 420.0: 2189, 414.0: 2156}","{413.0: 6410, 415.0: 4883, 414.0: 3601, 416.0: 3431, 412.0: 3394}",1.4216458505592062
9,2023-02-07,2023-02-17,400.0,310.0,"{410.0: 69650, 400.0: 61244, 420.0: 43837, 405.0: 40853, 440.0: 38055}","{375.0: 265281, 380.0: 176825, 350.0: 170528, 310.0: 128131, 370.0: 113730}","{375.0: 269237, 380.0: 190747, 350.0: 171012, 400.0: 168095, 395.0: 135208}",3.055256923942735
10,2023-02-07,2023-02-24,428.0,330.0,"{415.0: 6783, 410.0: 5192, 420.0: 4803, 416.0: 4619, 425.0: 4354}","{360.0: 44620, 330.0: 43927, 345.0: 40467, 315.0: 29142, 375.0: 25536}","{360.0: 44642, 330.0: 43934, 345.0: 40479, 315.0: 29145, 375.0: 25582}",3.750310437226325
11,2023-02-07,2023-03-03,395.0,315.0,"{420.0: 12884, 405.0: 5552, 425.0: 5433, 415.0: 5229, 395.0: 5079}","{355.0: 40440, 330.0: 33784, 370.0: 30730, 315.0: 28967, 340.0: 19045}","{355.0: 40447, 330.0: 33784, 370.0: 30763, 315.0: 28968, 340.0: 19048}",3.050841488882519
