,DateGen,ExpDate,ITM Maximum Pain,All Maxpain,Top 5 Calls,Top 5 Puts,highestOIstrike,ITM P/C Ratio,All P/C Ratio
0,2023-02-16,2023-02-15,414.0,425.0,"{425.0: 26760, 422.0: 23777, 420.0: 23755, 417.0: 20863, 428.0: 20160}","{410.0: 35474, 411.0: 33884, 412.0: 21538, 409.0: 20029, 408.0: 19912}","{410.0: 35474, 411.0: 33884, 425.0: 26760, 422.0: 23777, 420.0: 23755}",1.6974582934662132,1.6974582934662132
1,2023-02-16,2023-02-16,401.0,401.0,"{418.0: 21446, 416.0: 21412, 415.0: 17904, 413.0: 14280, 420.0: 13583}","{412.0: 16055, 410.0: 16017, 411.0: 14752, 413.0: 13887, 401.0: 12549}","{418.0: 31581, 416.0: 29416, 413.0: 28167, 412.0: 24745, 415.0: 24576}",1.1667706346801647,1.1667706346801647
2,2023-02-16,2023-02-17,400.0,310.0,"{418.0: 89737, 410.0: 63147, 400.0: 61941, 415.0: 54058, 420.0: 43066}","{375.0: 324862, 350.0: 168698, 380.0: 159818, 310.0: 130642, 400.0: 108802}","{375.0: 328783, 400.0: 170743, 350.0: 169112, 380.0: 166215, 395.0: 139330}",2.7187504543725756,2.7187504543725756
3,2023-02-16,2023-02-21,407.0,345.0,"{415.0: 10008, 414.0: 6802, 410.0: 6361, 416.0: 6083, 417.0: 5245}","{405.0: 9580, 410.0: 8036, 414.0: 7890, 415.0: 6217, 417.0: 6165}","{415.0: 16225, 414.0: 14692, 410.0: 14397, 416.0: 12148, 417.0: 11410}",1.2911504773928826,1.2911504773928826
4,2023-02-16,2023-02-22,407.0,378.0,"{415.0: 9744, 409.0: 6579, 414.0: 6501, 408.0: 6120, 407.0: 5884}","{415.0: 15135, 416.0: 8849, 417.0: 7742, 414.0: 4994, 410.0: 4836}","{415.0: 24879, 416.0: 14580, 417.0: 11832, 414.0: 11495, 409.0: 10955}",1.453843888070692,1.453843888070692
5,2023-02-16,2023-02-24,420.0,330.0,"{418.0: 26832, 415.0: 13757, 430.0: 9735, 425.0: 8824, 420.0: 8600}","{360.0: 47008, 330.0: 43979, 345.0: 43644, 400.0: 39759, 395.0: 39717}","{360.0: 47072, 330.0: 43986, 400.0: 43658, 345.0: 43656, 395.0: 41178}",2.884779755993758,2.884779755993758
6,2023-02-16,2023-02-27,410.0,405.0,"{411.0: 717, 410.0: 641, 421.0: 492, 420.0: 480, 414.0: 396}","{405.0: 12211, 370.0: 768, 390.0: 719, 380.0: 463, 412.0: 447}","{405.0: 12228, 411.0: 1067, 410.0: 969, 412.0: 841, 370.0: 769}",2.8128228501975086,2.8128228501975086
7,2023-02-16,2023-02-28,410.0,390.0,"{410.0: 5497, 420.0: 3344, 411.0: 2248, 430.0: 2029, 422.0: 1992}","{410.0: 20679, 390.0: 20641, 380.0: 3933, 411.0: 2313, 415.0: 1679}","{410.0: 26176, 390.0: 20649, 411.0: 4561, 420.0: 4322, 380.0: 3935}",2.0327160671600955,2.0327160671600955
8,2023-02-16,2023-03-01,420.0,401.0,"{420.0: 437, 430.0: 330, 419.0: 172, 412.0: 156, 440.0: 129}","{401.0: 6109, 380.0: 941, 400.0: 762, 411.0: 442, 402.0: 420}","{401.0: 6112, 380.0: 941, 400.0: 797, 420.0: 552, 411.0: 542}",5.908618899273105,5.908618899273105
9,2023-02-16,2023-03-03,395.0,315.0,"{420.0: 17944, 425.0: 12430, 415.0: 10630, 410.0: 10500, 430.0: 8946}","{355.0: 41827, 330.0: 33053, 370.0: 29246, 315.0: 29079, 384.0: 25490}","{355.0: 41834, 330.0: 33055, 370.0: 29289, 315.0: 29080, 420.0: 28887}",2.6780020914292497,2.6780020914292497
10,2023-02-16,2023-03-10,430.0,345.0,"{410.0: 22772, 415.0: 21169, 430.0: 6688, 408.0: 6439, 417.0: 6103}","{350.0: 37931, 345.0: 37014, 330.0: 26639, 410.0: 23343, 355.0: 20758}","{410.0: 46115, 415.0: 39084, 350.0: 38006, 345.0: 37014, 330.0: 26645}",2.610801045262445,2.610801045262445
11,2023-02-16,2023-03-17,394.0,310.0,"{420.0: 76396, 410.0: 60792, 430.0: 60581, 400.0: 51209, 450.0: 45190}","{390.0: 154469, 400.0: 146346, 380.0: 121777, 310.0: 114207, 394.0: 105805}","{400.0: 197555, 390.0: 179331, 394.0: 145667, 380.0: 138381, 310.0: 114392}",2.2466907442098574,2.2466907442098574
12,2023-02-16,2023-03-24,408.0,365.0,"{455.0: 3547, 410.0: 1896, 408.0: 1503, 420.0: 1497, 423.0: 1262}","{365.0: 3729, 392.0: 3017, 395.0: 2951, 392.5: 2570, 335.0: 2097}","{365.0: 3729, 455.0: 3547, 410.0: 3211, 392.0: 3044, 395.0: 3043}",1.9050570868411947,1.9050570868411947
13,2023-02-16,2023-03-31,370.0,325.0,"{410.0: 20837, 420.0: 18955, 400.0: 12370, 442.0: 9478, 450.0: 8777}","{325.0: 121381, 345.0: 56640, 305.0: 52624, 350.0: 42299, 390.0: 40467}","{325.0: 121446, 345.0: 57261, 305.0: 52649, 390.0: 44350, 350.0: 42651}",2.9992603858889213,2.9992603858889213
